text|label
做父母一定要有劉墉這樣的心態，不斷地學習，不斷地進步，不斷地給自己補充新鮮血液，讓自己保持一顆年輕的心。我想，這是他能很好的和孩子溝通的一個重要因素。讀劉墉的文章，總能讓我看到一個快樂的平易近人的父親，他始終站在和孩子同樣的高度，給孩子創造著一個充滿愛和自由的生活環境。很喜歡劉墉在字裡行間流露出的做父母的那種小狡黠，讓人總是忍俊不禁，父母和子女之間有時候也是一種戰鬥，武力爭鬥過於低級了，智力較量才更有趣味。所以，做父母的得加把勁了，老思想老觀念注定會一敗塗地，生命不息，學習不止。家庭教育，真的是樂在其中。|1
作者真有英國人嚴謹的風格，提出觀點、進行論述論證，儘管本人對物理學瞭解不深，但是仍然能感受到真理的火花。整本書的結構頗有特點，從當時（本書寫於八十年代）流行的計算機話題引入，再用數學、物理學、宇宙學做必要的鋪墊——這些內容佔據了大部分篇幅，最後回到關鍵問題：電腦能不能代替人腦。和現在流行的觀點相反，作者認為人的某種「洞察」是不能被算法模擬的。也許作者想說，人的靈魂是無可取代的。|1
作者長篇大論借用詳細報告數據處理工作和計算結果支持其新觀點。為什麼荷蘭曾經縣有歐洲最高的生產率？為什麼在文化上有著深刻紐帶關係的中國和日本卻在經濟發展上有著極大的差異？為什麼英國的北美殖民地造就了經濟強大的美國，而西班牙的北美殖民卻造就了范後的墨西哥？……很有價值，但不包括【中國近代史專業】。|1
作者在戰幾時之前用了〞擁抱〞令人叫絕．日本如果沒有戰敗，就有會有美軍的佔領，沒胡官僚主義的延續，沒有戰後的民發反思，沒有～，就不會讓日本成為一個經濟強國．當然，美國人也給日本人帶來了恥辱．對日中關係也造成了深遠的影響．文中揭露了〞東京審判〞中很多鮮為人知的東西．讓人驚醒．唉！中國人民對日本的瞭解是不是太少了．|1
作者在少年時即喜閱讀，能看出他精讀了無數經典，因而他有一個龐大的內心世界。他的作品最難能可貴的有兩點，一是他的理科知識不錯，雖不能媲及羅素，但與理科知識很差的作家相比，他的文章可讀性要強；其二是他人格和文風的樸實，不造作，不買弄，讓人喜歡。讀他的作品，猶如聽一個好友和你談心，常常喚起心中的強烈的共鳴。他的作品90年後的更好些。衷心祝願周國平健康快樂，為世人寫出更多好作品。|1
作者有一種專業的謹慎，若能有幸學習原版也許會更好，簡體版的書中的印刷錯誤比較多，影響學者理解，全書結構簡單，但內容詳實，學起來如魚得水非常輕鬆。這只是一項技術而已，若可以結合本專業，將會得到更高的學習快樂，家財萬貫不如一技在身，一技在身不如一念在心，本書有不僅有技，而且有念。書中佳品。|1
作者用詩一樣的語言把如水般清澈透明的思想娓娓道來，像一個經驗豐富的智慧老人為我們解開一個又一個人生的難題，讓我們超越自發的自己和世俗的觀念，引導著我們走向光明、理性的彼岸。尤其讓人驚歎的是，在那樣早的年代，作者對一些心理問題居然有那樣深的體會，對一些人生問題能夠分析得那樣的深刻透徹！確實是非常難能可貴的！較之前一本羅馬皇帝的《沉思錄》不知要高明多少倍，直如天壤之別！|1
作者提出了一種工作和生活的方式，作為咨詢界的元老，不僅能提出理念，而且能夠身體力行地實踐，並且提出具體的步驟，展現的是一種自然的生活態度，一種勞役結合、張弛有度的生活方式。作者提出的觀點引入了歐美人樂觀的生活方式，並且結合現在日本的社會狀況和生存環境，提出了一種切實可行的生活歷程，其實這些觀點同樣也適用於現在正在步日本後塵的中國人，會玩才會幸福。|1
作者妙語連珠，將整個60-70年代用層出不窮的搖滾巨星與自身故事緊緊相連什麼是鄉愁？什麼是搖滾？那是一種特立獨行看似高傲實則溫暖的姿態那是一種絕世獨立下深深的孤單與不甘文字和音樂當兩種憂愁相互碰撞的時候才會激起讀者心中的相同感受，無論何時，世界在變，我們的偶像在慢慢老去那個曾經年華不老的時代已然飄去。於是搖滾，成了最讓人痛徹心扉的藍調|1
作者邏輯嚴密，一氣呵成。沒有一句廢話，深入淺出，循循善誘，環環相扣。讓平日裡看到指標圖釋就頭疼的我竟然大有撥雲見日，醍醐灌頂之感。果不出所料，占豪的黃金遊戲，值得期待！|1
